slug,id,grantee,grant_category,entity_type,organization,project_name,focus_area,grant_amount,project_cost,description_short,description_long,start_date,end_date,goals,economic_impact,social_impact
Currently in scarce supply, the native CA Pipevine is the only plant on which the Pipevine Swallowtail butterfly can lay its eggs and hatched caterpillars can feed. A single CA Pipevine can grow to cover a large area but is very vulnerable as a young plant. They require weekly deep watering and 1-2 years to get established enough to be drought tolerant & support a large caterpillar population. By pairing young sensitive plants with protective trellis-sculptures, equipped with night-lighting and irrigation, we can ensure their successful maturation while providing artistic placeholders for site visitors until fully established and populated. This timeframe also coincides with PHSCs opening. Its first visitors will be greeted by lush native greenery teeming with caterpillars/cocoons/butterflies.

Sculptures will be installed by local artists/gardeners Dan Tran & Trent Dean. They will source CA Pipevine and other CA native plants with guidance from the UC Davis Arboretum. Meanwhile, Tim Wong, California Academy of Sciences biologist & creator of @CaliforniaPipevineSwallowtail project will continue providing guidance and peer-review to the artists. ",9/15/17,,"Kaleidoscopes successes are incremental.
-Generate social media engagement from art community interest over winter via night-lit sculptures visible from the River Parkway & I-5 freeway.
-Generate interest & participation from environmental justice & scientific communities
-Increase in presence of CA native plants and butterflies/caterpillars/cocoons onsite
-Increase in # of site visitors & their duration of stay
-Host successful onsite PHSC fundraising gala & re-ignite public interest in PHSC
-Increase in issuance of Parks&Rec eventspace permits
-Decrease in pollution & vandalism along the parkway
-Receive statewide attention as part of @CaliforniaPipevineSwallowtail project ","Sacramento continually demonstrates to the world that as climate change accelerates, ecological literacy and resilience help ensure access to equitable & sustainable economic opportunities. This is also at the heart of PHSC's mission to engage people to explore the possibilities and responsibilities of science. Kaleidoscope also has the potential to turn Matsui Park into a desirable events destination, thusly increasing revenue to Parks & Rec through permit issuances.

We further envision Micro-Kaleidoscope Kits as a top-seller in PHSCs future gift-shop. Visitors can take kits back to their schools and neighborhoods to create butterfly-sanctuaries of their own.","Kaleidoscope is meant to amplify and diversify PHSCs efforts and outreach toward youth and underserved communities. In the process, it creates a safer and more welcoming place along Riverfront Parkway for all people and wildlife.  Kaleidoscope is also meant to push the conversation on the multi-functionality of art and to encourage more systemic overlaps between art & science now when we need them most in the face of climate change. These cross-pollination attempts are meant to raise broader and more cohesive public awareness around ecosystem thinking, climate resilience and civic participation."

orchard-park-living-art-project,452,Lia Villados and Fiona Nies,Microgrant ($5k),Individual/Sole Proprietor,,Orchard Park Living Art Project,"Public Art/Installations, Performing Arts/Music, Temporary Activations, Youth/Education","$4,942.88 ","$6,000.00 ",A living art installation of ecologically-derived materials native to the area built along the bike path at Orchard and Barandas Parks.  ,"Community engagement. Ecologically sound and sourced artistic practices. Sacramento narratives and history explored. We are Lia Villados, visual artist, and Fiona Nies, performance artist. Lia has been a lead apprentice at Billick Rock Art since 2005, and Fiona is a classically trained actor/director with 13 years experience in performance. We intend to create a living art installation of ecologically derived materials native to the Sacramento Valley built along the bike path at Orchard and Barandas parks in Natomas which will also serve as the setting for a series of historical narrative performance pieces inspired by the literary works of California authors John Steinbeck, Jack London and Mark Twain. The goal of this project is to intertwine visual, site specific, narrative, and performance art with the intention of engaging the Sacramento/Natomas community, with a specific emphasis on area students, that will celebrate the unique ecological and artistic voice that is California.
